Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.2.0.0-13909-779008a
Validator,HIPBLASLT_VERSION,0.7.0-e08af2c4
Validator,GCN_ARCH_NAME,gfx942:sramecc-:xnack-
Validator,ROCBLAS_VERSION,4.2.0-3b435943-dirty
GemmTunableOp_BFloat16_TN,tn_4096_16384_4096,Gemm_Rocblas_621283687,2.90075
GemmTunableOp_BFloat16_TN,tn_8192_2048_12288,Gemm_Rocblas_621285968,2.19231
GemmTunableOp_BFloat16_TN,tn_12288_8192_4096,Gemm_Rocblas_621283691,4.35541
GemmTunableOp_BFloat16_TN,tn_4096_12288_4096,Gemm_Rocblas_621283687,2.17931
GemmTunableOp_BFloat16_TN,tn_151936_12288_4096,Default,inf
GemmTunableOp_BFloat16_NN,nn_12288_2048_8192,Gemm_Rocblas_621283931,2.06625
GemmTunableOp_BFloat16_NN,nn_4096_16384_151936,Default,inf
GemmTunableOp_BFloat16_NN,nn_4096_8192_4096,Gemm_Rocblas_621286266,1.43337
GemmTunableOp_BFloat16_NN,nn_4096_20480_4096,Gemm_Rocblas_621283931,3.58915
GemmTunableOp_BFloat16_NT,nt_4096_22016_2048,Gemm_Rocblas_621284420,2.23513
GemmTunableOp_BFloat16_NT,nt_4096_151936_20480,Default,inf
GemmTunableOp_BFloat16_NN,nn_8192_2048_12288,Gemm_Rocblas_621286277,2.25035
GemmTunableOp_BFloat16_NN,nn_4096_16384_12288,Gemm_Rocblas_621286266,8.41949
GemmTunableOp_BFloat16_NN,nn_4096_20480_12288,Gemm_Rocblas_621283931,10.5041
GemmTunableOp_BFloat16_NN,nn_4096_20480_151936,Default,inf
GemmTunableOp_BFloat16_NT,nt_4096_151936_16384,Default,inf
GemmTunableOp_BFloat16_NT,nt_4096_151936_8192,Default,inf
GemmTunableOp_BFloat16_TN,tn_12288_2048_8192,Gemm_Rocblas_621283662,2.0391
GemmTunableOp_BFloat16_TN,tn_4096_8192_4096,Gemm_Rocblas_621285541,1.45101
GemmTunableOp_BFloat16_TN,tn_4096_2048_4096,Gemm_Rocblas_621285927,0.380303
GemmTunableOp_BFloat16_TN,tn_151936_2048_4096,Gemm_Rocblas_621283659,14.0655
GemmTunableOp_BFloat16_TN,tn_12288_12288_4096,Gemm_Rocblas_621285562,6.39367
GemmTunableOp_BFloat16_TN,tn_8192_2048_4096,Gemm_Rocblas_621285951,0.742109
GemmTunableOp_BFloat16_TN,tn_12288_20480_4096,Gemm_Rocblas_621285951,10.7215
GemmTunableOp_BFloat16_NN,nn_8192_2048_76032,Default,14.0974
GemmTunableOp_BFloat16_NN,nn_4096_2048_22016,Gemm_Rocblas_621286277,2.02433
GemmTunableOp_BFloat16_NN,nn_11008_12288_4096,Gemm_Rocblas_621286266,5.84757
GemmTunableOp_BFloat16_NT,nt_4096_8192_2048,Gemm_Rocblas_621281935,0.822939
GemmTunableOp_BFloat16_NT,nt_4096_12288_16384,Gemm_Rocblas_621281939,9.69793
GemmTunableOp_BFloat16_NT,nt_4096_22016_16384,Gemm_Rocblas_621281937,16.7868
GemmTunableOp_BFloat16_NT,nt_4096_12288_8192,Gemm_Rocblas_621284420,4.89597
GemmTunableOp_BFloat16_NT,nt_4096_12288_12288,Gemm_Rocblas_621281939,7.29586
GemmTunableOp_BFloat16_NT,nt_4096_22016_8192,Gemm_Rocblas_621281939,8.48102
GemmTunableOp_BFloat16_NT,nt_4096_12288_2048,Gemm_Rocblas_621284420,1.27138
GemmTunableOp_BFloat16_NT,nt_4096_4096_20480,Gemm_Rocblas_621284420,4.09229
GemmTunableOp_BFloat16_NT,nt_8192_76032_2048,Gemm_Rocblas_621281938,14.8419
GemmTunableOp_BFloat16_NT,nt_4096_12288_20480,Gemm_Rocblas_621281937,12.101
GemmTunableOp_BFloat16_NT,nt_4096_22016_20480,Gemm_Rocblas_621281939,20.9567
GemmTunableOp_BFloat16_NN,nn_4096_16384_22016,Gemm_Rocblas_621286266,15.0846
GemmTunableOp_BFloat16_NN,nn_4096_2048_12288,Gemm_Rocblas_621286277,1.11568
GemmTunableOp_BFloat16_TN,tn_24576_2048_8192,Gemm_Rocblas_621283659,4.54414
GemmTunableOp_BFloat16_TN,tn_4096_16384_11008,Gemm_Rocblas_621285562,7.83957
GemmTunableOp_BFloat16_TN,tn_22016_8192_4096,Gemm_Rocblas_621286020,7.71567
GemmTunableOp_BFloat16_TN,tn_4096_2048_11008,Gemm_Rocblas_621285815,0.958387
GemmTunableOp_BFloat16_TN,tn_22016_12288_4096,Gemm_Rocblas_621286020,11.5222
GemmTunableOp_BFloat16_TN,tn_4096_20480_11008,Gemm_Rocblas_621286020,9.63821
GemmTunableOp_BFloat16_TN,tn_12288_16384_4096,Gemm_Rocblas_621283687,8.58098
GemmTunableOp_BFloat16_NT,nt_4096_4096_16384,Gemm_Rocblas_621284420,3.28626
GemmTunableOp_BFloat16_NT,nt_11008_4096_8192,Gemm_Rocblas_621281939,4.02606
GemmTunableOp_BFloat16_NT,nt_11008_4096_12288,Gemm_Rocblas_621281937,6.0009
GemmTunableOp_BFloat16_NT,nt_11008_4096_20480,Gemm_Rocblas_621281941,9.9405
GemmTunableOp_BFloat16_NN,nn_8192_2048_24576,Gemm_Rocblas_621283929,4.5038
GemmTunableOp_BFloat16_NN,nn_4096_16384_4096,Gemm_Rocblas_621286266,2.85979
GemmTunableOp_BFloat16_NN,nn_4096_8192_12288,Gemm_Rocblas_621286266,4.22771
GemmTunableOp_BFloat16_NN,nn_4096_2048_4096,Default,0.390989
GemmTunableOp_BFloat16_NN,nn_4096_2048_151936,Default,14.0635
GemmTunableOp_BFloat16_NN,nn_4096_12288_22016,Gemm_Rocblas_621286265,11.3994
GemmTunableOp_BFloat16_NN,nn_4096_2048_8192,Gemm_Rocblas_621286277,0.753212
GemmTunableOp_BFloat16_NN,nn_11008_20480_4096,Gemm_Rocblas_621286266,9.67182
GemmTunableOp_BFloat16_TN,tn_151936_16384_4096,Default,inf
GemmTunableOp_BFloat16_TN,tn_4096_20480_4096,Gemm_Rocblas_621283659,3.60975
